,Dialogue
1727,put awkward position mr kessler
1728,'m afraid eat something
1729,n't eaten lunch
1730,mr kessler
1731,
1732,beg pardon
1733,thought
1734,ever severely beaten face neck
1735,
1736,feeling tonight
1737,right
1738,round later would like picture look lovely funny beano
1739,feeling better
1740,well right way swallow
1741,
1742,hello
1743,really n't think proper besides 's common practice
1744,looked
1745,earth say
1746,think 's jew
1747,chart say 's new
1748,'s american know dr hirsch going fetch round one embassy fellow see
1749,yes think called
1750,right
1751,yes mr hobbs
1752,nothing quite dramatic miss n't eat enough put suffers nightmare 'd think need hold
1753,refusing food
1754,take round please american twenty one 's eaten sure
1755,yes mr hobbs
1756,miss
1757,'re going stop disturbance shall arrest
1758,see young
1759,'s call kind language
1760,right two move along
1761,
1762,could told
1763,'s funny
1764,oh come tell u
1765,quiet everyone hush shhh
1766,'re
1767,bambi
1768,everyone
1769,american film mafia called 'see next wednesday ' want see badly give problem go sleep
1770,miss attended
1771,'s nearly eight 'm duty shortly 'm film
1772,go back sleep 'll fresh dr hirsch morning
1773,mr kessler wake please
1774,oh 's two hundred year going paint 's traditional left
1775,sorry love
1776,hello get
1777,beg pardon
1778,heat 'd like
1779,
1780,'ve got spirit beer 's something hot want tea
1781,
1782,yes sir
1783,yes sir
1784,yet mr
1785,
1786,'m afraid n't got moustache
1787,mr bones7
1788,know ought congressional medal men like 's comfort misunderstood wife never thought would find
1789,'m afraid papa n't much interested 's busy rushing philadelphia make stuffy old speech stuffy old banker ' meeting busy closing big important dealsâ think drink
1790,know answer one think 'd better take home
1791,knew could n't trust told taking home
1792,'s
1793,cyril
1794,cyril 're insaneâ
1795,wait minute wait minute
1796,
1797,
1798,anxious
1799,n't silly cyril respectable people 'd probably bore
1800,'s set 's closest friend
1801,well
1802,'m giving party real old fashioned surprise party cap bell whistle everything 'm really terribly excited 've planning month
1803,oh oh think 've done enough experimenting one day congratulation cyril 've convinced 're philanderer first order shall recommend highly
1804,see 're getting along famously
1805,n't come next
1806,let see come next oh yes know tonight
1807,come cyril try little n't first blarney thrown since day married
1808,whatever make riot woman
1809,bad bad know something 've always curious line
1810,ârunning around work 'd better start reforming cyril
1811,n't go back work 'm getting tired besides 's beginning affect looksâ
1812,liar 're suffering lack sleep
1813,celebrated bounder awful admission besides never knew female could
1814,
1815,matter 're trembling
1816,wo n't business hour
1817,'s apartment well dear see
1818,last night er uh last night
1819,
1820,right 'll postpone whole thing tomorrow night
1821,tomorrow night
1822,well
1823,ho ho ho would n't laugh suspect 'm still attractive
1824,girl n't suppose ever occurred might go find attractive young
1825,yes course
1826,theatre
1827,n't care whether 's important said going n't promised faithfully would n't gone planned whole thing
1828,simply go philadelphia tonight 's
1829,yes
1830,nothing thought going tonight
1831,'s sweet lovely gorgeous ever get see
1832,hello darling
1833,oh
1834,good morning
1835,want rest number mr
1836,yes sir
1837,mr 's office
1838,oh mr 're going arrest think
1839,yes sir
1840,longer
1841,director waiting board room
1842,well iâ
1843,n't know
1844,good morning
1845,mr thought going take care mortgage want ten thousand property sixty
1846,mr
1847,yes thank
1848,good morning mr
1849,said would safe 's life insurance money oh please 'll go old lady ' home n't something please
1850,'s life insurance money know
1851,safe
1852,right
1853,oh well guess thing go buy stick dynamite come tell 'll back n't gotten rid
1854,hardly
1855,well take word n't try 's useless could handle ca n't bank 's eye
1856,
1857,ever try competing bank
1858,'m afraid
1859,board meeting oh mean hour suppose
1860,'s board meeting
1861,busy husband mine busy
1862,mr
1863,look 's mr
1864,mr
1865,talk
1866,yes called biggest people town
1867,something 's happened n't trying anymore
1868,oh
1869,shh 'll wait upstairs
1870,'ve got worried dear promise wo n't butt
1871,oh n't silly
1872,say n't done anything saw today
1873,'s keeping
1874,'s office
1875,oh must mistaken
1876,well
1877,'s matter gee thought 'd thrilled
1878,happened say get job
1879,say heard merger n't going thru n't grand
1880,oh
1881,yes
1882,
1883,yes
1884,ten dollar
1885,
1886,oh
1887,come
1888,come
1889,yes sir
1890,came see mr
1891,bank yesterday
1892,say finlay
1893,listen young nobody ever called liar yet got away itâ
1894,clock struck four strike four 's one
1895,n't earlier
1896,yes guess one 'cause
1897,'s 'm trying tell sir half hour dooley sister
1898,let see half hour dooley sister dooley sister never get home afterâ
1899,huh
1900,late know dooley sister already work show know
1901,âfor rheumatism know
1902,sure best room house one fancy wallpaper
1903,think kind game
1904,think 's already feeling better
1905,fooled thinking alone
1906,'s going fine right
1907,n't start
1908,shush
1909,take care say prayer
1910,rider
1911,
1912,lord say bury 'em back orchard nobody 'll ever find
1913,'re fine thank sir
1914,'s good christian killed yankee told made right
1915,say prayer
1916,kill yankee
1917,tennessee
1918,n't swear
1919,ca n't believe blow train
1920,get arrested 'll kill
1921,n't see 's real
1922,n't turn around
1923,stop sad
1924,ever noticed 're trying charm way trouble accent get farm
1925,oh 'm finished sauntered saloon spur jangling pocket full lady flocked around like fly candied apple said hmm
1926,blazing gun true story dime hotel lobby
1927,life gang n't robbing shooting killing young missouri buck taste lady especially handsome charismatic
1928,hmm
1929,wait minute certain thing wait wedding
1930,going happy mr without excitement
1931,would never imagined u place like
1932,'s wonderful 's thought
1933,n't understand
1934,thinking bounty hunter lawman county
1935,whose justice 's stop
1936,let law
1937,'ve started something know n't know 'll happen
1938,sorry
1939,planning kissing finished quoting
1940,one 's shakespeare poem 're trying quote
1941,sparkling rock
1942,find
1943,'s right like
1944,planning bachelor whole life
1945,thank grew grow n't
1946,river pirate
1947,n't want farm
1948,'re saying leave alone go spend time younger
1949,everybody county know rescued 're proud single farm 's sold railroad since 're everybody 's hero
1950,n't tease hero
1951,teasing completely unfair
1952,'re sick company
1953,n't
1954,
1955,awake
1956,still died
1957,little left
1958,really
1959,gentlemanly
1960,could go upstairs talk 's loud
1961,devereux
1962,though awful cute
1963,'m forward
1964,yes could find
1965,n't mind told name
1966,nothing
1967,
1968,n't special
1969,listenpatrick talk
1970,never noticed
1971,supposed dinner 's know
1972,'s nice
1973,tonight
1974,call thanksgiving
1975,oh get
1976,well 's turn promotion coming n't want get aid
1977,leave half inch tip â catch force ejaculate 'm getting 's lithium
1978,take
1979,turn light turn light
1980,turn light
1981,pull goddamnit
1982,pull
1983,idiot said receptacle tip despicable twit receptacle tip get
1984,despicable twit
1985,mmmmthanks
1986,dorsia
1987,
1988,champagne rock oh could start sink back chair lean pull back
1989,want justtwo perfectchildren
1990,oh shut
1991,facial arden really relaxing pottery bam bought silver muffin dish
1992,pick
1993,okay yeah time
1994,like n't
1995,dorsia 's nice
1996,ca n't
1997,n't call pumpkin anymore okay go
1998,know stop
1999,uh huh
2000,yes
2001,ummm yeah calling tonight need home
2002,waiting call said 'd call tonight oh n't difficult
2003,stop 'm
2004,oh i'mbusy
2005,nicer apartment
2006,friend told maybe even get
2007,well actually might need little surgery last time
2008,alright
2009,n't think
2010,'m sure go emergency last time
2011,really nice place herepaul much pay
2012,'m supposed make exception
2013,n't looking
2014,
2015,going
2016,oh ca n't believe
2017,
2018,'re inhuman
2019,past past
2020,'re really serious n't
2021,friend friend friend friend n't think would work little something upper lip
2022,touchy touchy 'm sorry brought wedding let 's avoid issue alright coffee
2023,talk talk
2024,'s wrong
2025,want firm commitment
2026,hairline look like 's receding
2027,using minoxidil
2028,everybody great
2029,everybody 's good looking
2030,everybody 's rich
2031,oh
2032,cousin vanden stash 's artist
2033,well hate job anyway n't quit n't work
2034,practically owns company anything like silly
2035,
2036,yes darling
2037,get married wedding
2038,marzipan pink tent hundred thousand rose photographer leibovitz 'll get leibovitz 'll hire someone videotape
2039,n't come back
2040,n't make trouble please suggest go
2041,think go
2042,ad time
2043,saw ad time
2044,n't
2045,help
2046,two o'clock
2047,alright
2048,
2049,'s wrong
2050,ca n't hear
2051,mcdermott called want meet van patten 's drink
2052,
2053,
2054,'s office
2055,n't forget breakfast meeting bennet rust '21
2056,guess n't want get bruised 're right go
2057,know go know tendency get involved unavailable men andi mean want go
2058,hmmmm
2059,make someone happy ever wanted
2060,sorry
2061,ever wanted make someone happy
2062,'s
2063,'s
2064,well guess time focused work think 've really begun think changing know developing andgrowing
2065,seeing anyone mean seriously
2066,really
2067,well 'd like travel maybe go back school really n't knowi 'm point life seems lot possibility 'm n't knowunsure
2068,well maybe n't go dinner n't want ruin willpower
2069,n't need lose weight 're kidding right look great fit
2070,want bite
2071,thanks 'd love
2072,n't give name
2073,oh n't know 'll go anywhere want
2074,oh ca n't n't know
2075,oh ca n't make decision
2076,anywhere want
2077,oh plan
2078,yes
2079,yes
2080,
2081,think know 're 's ten thirty
2082,
2083,mr see
2084,
2085,thanks
2086,n't like take
2087,ummmwhat n't hear
2088,yes
2089,look nice today
2090,'ll
2091,oh something romantic
2092,yes sir
2093,say
2094,oh say
2095,six
2096,andspencer want meet drink fluties pier 17
2097,cancel today n't say canceling
2098,late
2099,'s okay n't mind 's something sweet
2100,think 'm dumb think model dumb
2101,think 'm dumb n't
2102,well guy know work merger acquisition n't really like
2103,well
2104,model
2105,
2106,okay
2107,yeah
2108,well oh know maybe saturday
2109,maybe could lunch one day next week know 'm downtown near wall street quite often
2110,'s oh really moved uptown right
2111,oh yeah oh get fun chocolate
2112,n't ridiculous coming way know really best
2113,hi thought
2114,actually listen houston actually houston cd one
2115,guy 're making feel weird
2116,'m lesbian think 'd
2117,time
2118,let 's get lewd 'm mood lewd conversation
2119,lunatic
2120,coke halcyon 'd take halcyon
2121,know disappeared n't work pierce pierce friend
2122,want number idiot anyway 'm 's 'll try later n't see canal bar tomorrow night 'm going sic hairdresser
2123,
2124,taste weird 's need service translate anyway 'd like 'm
2125,would
2126,'s goddamn drug peak hour
2127,uh huh
2128,american express card 'd give blowjob listen worked tanning salon need say morewhat
2129,anything 's even credible want go check think encourage 's life everybody 's treating like valuable object 're hurting
2130,paint anywhere
2131,know 's like want work stuff 's cool
2132,make
2133,fanatic
2134,
2135,'re afraid eat
2136,'s gon na get cold
2137,go
2138,oh right hold
2139,
2140,know 're gon na run back work right dinner want kiss
2141,yeah give goodbye kiss
2142,look 'm gon na change
2143,shut
2144,gon na tell went
2145,
2146,
2147,thousand employee
2148,
2149,know ca n't keep anything
2150,different
2151,poor know 's true
2152,guilt
2153,remember
2154,
2155,nothing
2156,'s almost nine 've worried see
2157,whaddo
2158,two three ever really noticed
2159,ca n't walk either
2160,told doj agent place could hide surveillance post get anyway camera swipe card
2161,even true 're 20 building filled computer
2162,'re scaring think go
2163,hack people 's program
2164,ca n't see outpost putting reputation hand people like
2165,saying think something said airtight
2166,hate crime
2167,killed last night
2168,mean one little comment gon na upset much
2169,'s extreme er said pumped stomach eat another sesame seed 's
2170,ca n't deal basis better get new
2171,'s 's
2172,would mean anyway n't write
2173,'s need ask know ca n't keep anything
2174,
2175,'re gon na let
2176,prob'ly waiting outpost call 'll leave
2177,n't bring like different girlfriend would'd 've let die
2178,way destiny
2179,n't visit campus
2180,think 's great
2181,'s quite anymore n't get hope high
2182,talking
2183,'s important
2184,'ve got ta ask
2185,c'mon often talk somebody 's cover time three four time
2186,n't think know
2187,said made sense 's code like 's clichã© great mind true said guilt plus tendency get mixed always pass
2188,prick
2189,instead busting chop something fire something
2190,'ll tell get home
2191,
2192,latitude 47 degree
2193,
2194,maybe 's satellite
2195,said
2196,'s three year old
2197,tell 're calling car
2198,please n't go
2199,
2200,know know
2201,'ll come something
2202,could always say go bathroom
2203,excerpt 'm choosing 'll play image described
2204,notice somebody entered day care four tell
2205,yeah 's old tree
2206,n't know day care
2207,suspect somebody broke 21 office reviewing card readout
2208,dish juiced
2209,
2210,'d say
2211,'cause apartment might bugged
2212,oh liked checking
2213,thought worst would fire knew took termination literally
2214,broadcast dish top 21 n't hot yet said place n't finished
2215,mean break
2216,kill somebody else
2217,'s gui 've got concept 's maybe three day 's work
2218,'d still get idea right
2219,
2220,'s got 12 satellite 's got dish top 21 's building mega network skywire let 's use
2221,close
2222,still ca n't say cbs would n't love break something like
2223,60 minute
2224,could reference base medium ownership computer even home
2225,mainstream medium tv newsmagazine
2226,'re many disinformation site already devil 's horn crop saddam hussein
2227,trust
2228,fbi
2229,always felt liked ever found 'd run 'd think unclean
2230,
2231,'s prison
2232,scenario tell
2233,oh yeah
2234,would
2235,day care
2236,would thing like
2237,'s great n't know
2238,right
2239,story interesting
2240,mmm like little trouble trusting people
2241,maybe wrote anyway
2242,mine 's ceo barely remembers take shower
2243,pushed schedule skywire apps fast going
2244,wan na alone
2245,yeah ran lot platform ranging narrowest bandwidth
2246,graphical interface skywire 'm s'posed coordinate
2247,know mean used spend life wishing people could like computer least make sense sometimes think 've betrayed like person would see missed step go back make work
2248,something like yeah
2249,moved around much barely knew teacher
2250,would n't worry 've got ta people around teacher ' pet
2251,'re famous around
2252,know name
2253,oh 're clever let 's make love silly hairy little
2254,'ll tell due time make love first tell another poem
2255,yes
2256,mind ask personal question
2257,kiss
2258,thank 's beautiful health
2259,'s clever know poem
2260,feel mr cunningham
2261,care saki
2262,japan men come first woman come second
2263,wash
2264,n't like girl mr cunningham come 'll show everything need know
2265,come
2266,'s mining industry mr cunningham talk business later first let slip something comfortable
2267,virtucon 's main interest television subterranean construction division yes know
2268,
2269,want mr cunningham
2270,thought 'd quit ahead
2271,kiss
2272,love
2273,something tell
2274,'ll secure perimeter
2275,'m coming
2276,crazy
2277,believe let 's go
2278,likewise
2279,oh behave
2280,'s point
2281,'ll hurry back
2282,'m going anywhere 're team
2283,
2284,shut
2285,yes
2286,indeed
2287,'ll use floss get ledge
2288,sadly hold always keep
2289,
2290,thank made
2291,n't look anything like photo badge
2292,'m looking whole time ca n't help thinking inside hootchie kooch
2293,know
2294,think 's prettier
2295,'ll tell way 've decided keep relationship strictly professional
2296,basil concerned know last night
2297,thirty year political social upheaval fall wall female prime england abolishment apartheid fascinating tapestry human strum und drang
2298,n't get good night welcome ninety 're going lonely
2299,well mean something want u relationship 've got one
2300,ninety
2301,use condom
2302,ca n't believe made love like use protection
2303,listen know 'm neurotic ca n't suspicious feeling italian m fagina mean n't want sound paranoid 've bad relationship past jealousy issue went penthouse make feel small give insecurity ca n't help feel weird irrational unfocused well jealousy 'm sorry
2304,word
2305,really
2306,'s 'm drunk 'm beginning see mum talking like back sixty 'm dying know
2307,'m 'm sensible one 'm always designated
2308,
2309,always wanting fun 's nutshell
2310,
2311,n't fun like since college
2312,go go
2313,watch 're hair
2314,could n't another bite
2315,hate picture taken
2316,unfortunately told stupid story dr evil escaped
2317,n't get
2318,ca n't sit
2319,let 's go get
2320,know
2321,limousine pulled
2322,
2323,want talk
2324,leave soon
2325,oh forgot tell 're prescription glass bad astigmatism
2326,use mine
2327,'m sure
2328,actually n't know put really well fabulous advance field dentistry
2329,yes 've retrofitted secure cellular board global geosynchronous positioning device oh finally
2330,understand mr power let perfectly perhaps point insulting never sex ever last earth last earth future human race depended sex simply procreation still would sex
2331,part unfreezing process
2332,
2333,sure
2334,n't use term 'negro ' anymore 's considered offensive
2335,chigro
2336,mr power please know must little confused serious situation would appreciate 'd concentrate mission give libido rest
2337,'m sorry
2338,excuse
2339,beg pardon
2340,went oxford excelled several subject ended specializing foreign language wanted travel see world last year accepted mod cultural study sector thought exciting career job read everything printed every country 's boring whole day spent reading wedding announcement farsi well finally get promoted field operative
2341,listen mr power look forward working favor stop calling address kensington leave immediately 've preserved private jet left 's waiting heathrow airport
2342,'s quite well thank much
2343,'s told
2344,mr power job acclimate ninety know lot 's changed since 1967
2345,please allow demonstrate
2346,'re mutated sea bass
2347,sea bass
2348,well experimented laser would surprised heavy actually outweighed piranha fish well sank bottom died
2349,'s shark since frozen 've placed endangered specie list tried get take month tape
2350,dr evil
2351,thank herr
2352,latest word android replicant technology lethal efficient brutal resist charm send soldier
2353,ya wohl mean yes wohl herr created ultimate weapon defeat power bring fembots
2354,yes
2355,well year got sort impatient dr evil want meet son
2356,remember froze semen said looked like n't coming back try make son part would live forever
2357,love
2358,'m friend look 'd better go love
2359,'s best leave thing alone
2360,know let say loyal caring friend ever
2361,n't answer question mum
2362,charming debonair 's handsome witty knowledge fine wine sophisticated world renowned woman want men want 's lover love every international mystery
2363,ever want
2364,course married
2365,ever
2366,wait get charm 's impossible get
2367,n't see
2368,understand britain sixty could sex symbol still bad teeth n't matter
2369,teeth
2370,ca n't modern standard 's much product time day could wanted
2371,well know tried 've rather firm mummy n't tell obsessed sex 's bizarre
2372,managed resist power 's charm
2373,
2374,'m proud
2375,oh made sleep couch
2376,n't
2377,'s asleep
2378,'s
2379,great
2380,oh hello flight
2381,technology new soon powerful anticipate huge demand leave u number 'll touch
2382,real wish hot cold humid dry anything like within reason
2383,course natural weather delivered door demand phoneline limited period
2384,normally 'd eager oblige
2385,really
2386,'re yet open business 'm afraid
2387,would could say
2388,'m still
2389,
2390,love
2391,love
2392,love
2393,preserve
2394,power
2395,
2396,
2397,
2398,
2399,bottle
2400,sir
2401,promised promised
2402,met
2403,agree acquire taste
2404,'ve come apply membership brolly
2405,really happened 1922
2406,appointment
2407,see
2408,impossible
2409,mr please
2410,win
2411,rule made broken
2412,n't game
2413,'s familiar
2414,quite collection
2415,sir sir
2416,thank
2417,next assignment
2418,
2419,find killed husband
2420,
2421,institute funding
2422,
2423,thought husband ever loved dead rest life live
2424,trying
2425,watch
2426,resign
2427,cold war
2428,directed laser bounced satellite quite possible
2429,tried warn u
2430,rope
2431,curious
2432,let guess 'father '
2433,hmmm
2434,'ll never marry
2435,choice
2436,choice
2437,speaking 's good news wo n't even change last name 'll always mr peel
2438,wagnerian mean say 've waited year could n't create would amused
2439,missing piece jigsaw tried get give tried steal dr darling 'll le subtle ring plan complete
2440,one small thing diamond 'cyclone ' thousand time information fraction size posse power would unlimited dear half developing suspected sabotage gave 'mrs ' peel want also ring
2441,'s stopping
2442,chaos transport paralysis crop failure economic disaster frostbite sunburn massive scale 've seen sample
2443,result would
2444,destruction local weather system zap thousand chernobyl air
2445,
2446,entirely mad people get thing done let show
2447,'re mad
2448,'s better say n't came 's impenetrable way
2449,ring
2450,right bridesmaid left oh yes know ring
2451,listen
2452,know believe 's actually jealous
2453,come come 're attractive think 'll need bridesmaid
2454,'m already married
2455,think second wedding feast
2456,oh 've begun
2457,'our revel ended '
2458,disappoint ca n't guess
2459,
2460,course planned
2461,found clue led
2462,spoil majority shareholder wonderland weather planned everything even ministry recruiting
2463,many cook
2464,starter course kill bear well
2465,killed husband
2466,unholy
2467,dr darling
2468,slight miscalculation face burned beyond recognition fortunately research plastic came handy
2469,darling yes true genius behind prospero project
2470,
2471,thanks
2472,good luck
2473,ah sun tan lotion shop nearby
2474,pity came
2475,little made two
2476,n't recall siberia warm
2477,place mind
2478,still chilly
2479,' beautiful pea boat '
2480,kept
2481,'d would n't
2482,
2483,need n't bother ca n't drag still suspect
2484,going
2485,look
2486,'the merry ' might known 's
2487,trubshaw
2488,shall
2489,simply must get
2490,
2491,'s called black
2492,invited
2493,hurry 'm
2494,n't coming
2495,'s called 'invisible '
2496,'m wanted know
2497,speak loner nobody
2498,grown ups still like child
2499,idea idea
2500,lied
2501,far trust
2502,
2503,please n't tell 's play game
2504,'m playing
2505,thought played rule
2506,'re playing game
2507,suspect
2508,
2509,mmm
2510,n't word
2511,trust
2512,yes
2513,always obey order
2514,could save trouble
2515,kill
2516,followed
2517,saw
2518,
2519,
2520,
2521,someone n't want u get party
2522,must last straw
2523,barely
2524,trespassed male prerogative 're followed saw trubshaw 's
2525,think
2526,know explanation
2527,mad millionaire secret defense establishment eccentric obsessed weather
2528,three agent killed bad weather
2529,'s working
2530,exactly 'd earlier attempt pump carbon dioxide deep sea propane gas mostly small quantity capture chlorine protects ozone layer proved impractical bulky
2531,prospero project started husband attempt solve problem global warming theory climate engineering entirely feasible thought injecting chemical cocktail atmosphere laser satellite 'quick fix '
2532,quite field
2533,
2534,thanks see mean letting risking hello
2535,mouth
2536,written shoe
2537,idea
2538,good
2539,earth tell
2540,thought obvious 'm mourning
2541,mean self
2542,say formal must dress
2543,must know incidentally double left
2544,'s possible sir convinced 'd met 'd never met another odd thing rained said someone promised
2545,'s absurd fond 's style
2546,told said arrived camel shot four time left dead
2547,dr darling observation think tried kill
2548,mean trubshaw bullet proof waistcoat thought overdressed
2549,lucky four shot heart found slipped away sir brought thank
2550,dead feel
2551,distract snoop around
2552,vice
2553,june july
2554,eccentric recluse
2555,thanks
2556,choice risk life
2557,position n't mind asking stuffed shirt like get line work
2558,always follow 's instruction
2559,sir merryweather seeing first
2560,'s predictable find need protection 'll let know
2561,suppose 're
2562,'s point
2563,know mean car nobody walk around like milk
2564,place absurd date
2565,wish would n't
2566,really must
2567,half cocked
2568,thought way
2569,
2570,feeling would touche
2571,always wanted
2572,kipper herring investigating
2573,'re talk weather surely
2574,
2575,'ve settled matter honorific kindly explain wished meet
2576,circumstance call mr peel
2577,game
2578,rule made broken
2579,whereas
2580,sort test
2581,1922 kipper
2582,spot bother door
2583,must please n't get
2584,decontamination
2585,n't believe
2586,'s
2587,'re saying choice
2588,'m spy fit
2589,'m going find killed husband take document
2590,shall need small plane
2591,let guess wonderland weather
2592,
2593,well ca n't possibly go like
2594,fail see
2595,getting
2596,suggesting dr darling somehow together 's absurd
2597,'s vanished
2598,surveillance
2599,know
2600,'s
2601,see
2602,way
2603,good glad see 're together last n't get along promotion top job unfair quite fuss ministry
2604,
2605,'m said 'd way mr peel
2606,cocky little bastard baddy
2607,alright young
2608,ugh
2609,come come n't really expect fall
2610,n't forgetting something
2611,said one shot
2612,say
2613,'s playing rule
2614,wish
2615,teach
2616,'re better expected
2617,last one 'll ever see
2618,
2619,check 's bun
2620,look
2621,deb want throw shower
2622,'m totally blown away 're getting married seems like yesterday showed oral sex
2623,really went two year
2624,know
2625,really
2626,'s marrying
2627,'s happening
2628,right big show start one minute
2629,deb 're pretending hooker
2630,feel like 'm spying
2631,'s 're going find
2632,nah everything 's cool took care 'em
2633,'re kidding
2634,forgot tell yesterday found bunch porno back seat 's car
2635,mean
2636,'ll probably get drunk watch dirty movie n't worry dirty movie
2637,think 's gon na go guy ' party
2638,far 're concerned good dead n't care 's decision
2639,'s gon na happy parent ca n't thrilled either
2640,still think 'm going 'm going break news tomorrow
2641,tole 's sooo great n't believe
2642,talking
2643,n't believe 'm excited
2644,'m going
2645,'m sorry
2646,'m thought tell heard somewhere else
2647,'m marrying
2648,listen 've got tell
2649,
2650,'ve got talk
2651,
2652,'re romantic
2653,yeah
2654,let 's get naked
2655,yes
2656,n't believe
2657,want someone understands meaning word commitment
2658,marriage screw around friend rest life
2659,let go
2660,'re lying
2661,ca n't trust
2662,n't get undressed
2663,n't turn light 'll lead around
2664,love
2665,good time n't make late
2666,'s dead
2667,'re really pissing
2668,remember promised screwing around
2669,ca n't go guy
2670,gon na get married
2671,better much joy
2672,um 's relaxing
2673,feel great
2674,nervous breakfown
2675,wedding parent friend job future relationship caterer gown tuxedo honeymoon apartment shower bachelor party
2676,n't know feel scared
2677,stop fooling around need talk
2678,ca n't sleep
2679,'ve heard 's tradition 're traditional
2680,'m talking 'm talking hooker
2681,going woman party
2682,look awful
2683,'re going bachelor party
2684,want hear something great throwing shower 's really gon na fun
2685,think dinner 's burning
2686,
2687,'re slob
2688,know 'm go
2689,crazy
2690,look girl 'll stay behind hold rest break
2691,let 's go
2692,men pig woman men
2693,n't mean 's party
2694,look heard hooker said supposed go bachelor party
2695,sure good idea
2696,n't naive men pig
2697,promised
2698,course trusted ex mel cousin talk experience think party tea play scrabble
2699,would want trust
2700,'d worry le shower 's bachelor party
2701,guy right
2702,'s right
2703,quiet
2704,kind job 'm housewife
2705,n't really know
2706,strange wang right
2707,know enjoys company
2708,
2709,great
2710,'m using caterer shower party last year
2711,'s right
2712,'ve strange sex
2713,'re kinky
2714,tell friend
2715,girl n't go inside lunch would mind bringing lemonade
2716,er perhaps ought stop
2717,course
2718,'m separated
2719,klupner mr klupner
2720,get going 're late enough
2721,excuse tardiness
2722,'re late
2723,'s small town
2724,n't slightest idea
2725,quit two day ago
2726,'s dumb thing say
2727,take
2728,y'know four year ago working bakery two year ago bringing coffee n't even know name run office believed believe want throw away
2729,know 're asking
2730,n't know anything
2731,still talking look 'm sorry day
2732,hi
2733,knew asking n't suddenly pull conscience fit n't right
2734,oh yeah 's real fireman another probie working
2735,let ask something really think assigned arson firefighting skill hell kidding remember saw
2736,job
2737,please keep 's people
2738,n't know secret n't supposed secret city investigator
2739,'s wrong
2740,uh huh
2741,quit
2742,miss seem like
2743,homey
2744,got anything drink
2745,rimgale 's probably going come around arson
2746,yeah n't take einstein guy killed accident
2747,rimgale 's slow snail n't
2748,wanted come
2749,think 's really business
2750,n't least 300th person ask 'd probably pissed sure know 's 's world sometimes
2751,hi
2752,could use date
2753,committed thousand 's another fund raising party tonight 'd really like come
2754,'s going
2755,straightest answer department 's given week
2756,okay 'll arrange thing assignment 's good
2757,look n't mean take piece back thought 'd call came back n't n't blow garbage u
2758,always stupid think future
2759,took thirty second blow
2760,yeah well like think 'm little past hanging ii watching irish pick fight litwalks barf planter
2761,bullshit 's plan efficiency 've got two cousin job think 'd work n't believe
2762,think came tonight care department n't know hard work n't know program helping side
2763,let tell something going town 's next
2764,look 'm nothing better wrap leg around saturday night n't fun 'm working
2765,twenty
2766,n't want friend
2767,think dried blew away left world turn awhile even without permission
2768,work city hall
2769,quite visiting live park
2770,huh
2771,thanks calling
2772,'re back
2773,
2774,guy ought try picking awhile
2775,'s staying moved last
2776,told killed hot tub accident
2777,yeah 'd surprised three year
2778,four month
2779,'bout written town
2780,look like
2781,
2782,'re waitin '
2783,got ta roll
2784,want
2785,rimgale 's see
2786,hate got ta fucking go look
2787,n't want confuse
2788,'s okay 's
2789,talk second
2790,'s wrong
2791,ca n't keep
2792,yeah last time
2793,ah 's really n't always right
2794,know 's 's
2795,'s wrong c'mon beat roof something 's mind 's
2796,want coffee
2797,treated like shit
2798,okay
2799,deserved born deserving
2800,great communicator
2801,remember
2802,got ta stop showing roof like
2803,'s going fireman
2804,'s got piano lesson
2805,'s roof anymore
2806,
2807,go
2808,'m kinda busy talk later
2809,come guy 're looking get 50 n't come shit got kinda inside track
2810,strawberry
2811,could could use bread
2812,
2813,sure 're virgin like 'm gon na rape
2814,first 'll put uptown spoon make exciting 'm gon na add downtown call thing speedball must know first time shooting
2815,c'mere got something
2816,c'mere got good blow right
2817,
2818,
2819,ok ok fine believe
2820,believe end
2821,christ son came die sin
2822,'m talking fucking fuck tell believe
2823,'s horrible burned breast cigarette christ
2824,'s virgin anymore
2825,ca n't get guy ca n't
2826,said anything fucking street 've got connects
2827,'s nothing new oh forgot bowtay need buy new acting headshot developer 's good investment could make serious money
2828,'m gon na need bread ai n't fair 'm always ca n't even take decent care bitching like motherfucker 're two month behind rent
2829,want know brought chalice
2830,right
2831,yes
2832,yes
2833,sad raging came needy like many needy rude like needy took like needy needed knew learn school play schoolyard good
2834,yesterday morning gave one use something else serve arm leg something used first time last time never use vagina
2835,prayed day night since desecration yesterday morning sin see
2836,also thought bread night six day ago died kept cool damp cloth forehead freshly moist would one day use leg serve
2837,trivial natural sinned must listen prescribe appropriate act contrition absolve would one day use arm serve
2838,forgive sinned two day since last confession sin terrible sin sin omission another sin happened time place sin think graver stil
2839,'s mighty black
2840,think 'm house nigga 's prerogative got way affect change mine would appreciate much took ya field nigga as house
2841,that'swhati'msayin ' 'm blowin ' young career anybody else
2842,n't demographic
2843,make think would write show mau mau 's
2844,
2845,please
2846,revolting
2847,mau mau 's must smoking world would want bunch black flag waving pseudo revolutionairies
2848,order mostly owe visit
2849,'m callin big black africa mommy named
2850,'m huggin ' street must crazy
2851,well
2852,idiot almost gave massive coronary
2853,best way knew stubborn like
2854,proud
2855,club performing never laughed hard life asked come quit job 've together ever since
2856,drinking pain n't kill dulls
2857,often excited see
2858,glad meet talk
